FACT_SALES_ID,INVOICE_ID,CUSTOMER_ID,TRACK_ID,INVOICE_DATE_KEY,UNIT_PRICE,QUANTITY,EXTENDED_AMOUNT
1,1,2,2,20210101,0.99,1,0.99
2,1,2,4,20210101,0.99,1,0.99
3,2,4,6,20210102,0.99,1,0.99
4,2,4,8,20210102,0.99,1,0.99
5,2,4,10,20210102,0.99,1,0.99
6,2,4,12,20210102,0.99,1,0.99
7,3,8,16,20210103,0.99,1,0.99
8,3,8,20,20210103,0.99,1,0.99
9,3,8,24,20210103,0.99,1,0.99
10,3,8,28,20210103,0.99,1,0.99
11,3,8,32,20210103,0.99,1,0.99
12,3,8,36,20210103,0.99,1,0.99
13,4,14,42,20210106,0.99,1,0.99
14,4,14,48,20210106,0.99,1,0.99
15,4,14,54,20210106,0.99,1,0.99
16,4,14,60,20210106,0.99,1,0.99
17,4,14,66,20210106,0.99,1,0.99
18,4,14,72,20210106,0.99,1,0.99
19,4,14,78,20210106,0.99,1,0.99
20,4,14,84,20210106,0.99,1,0.99
21,4,14,90,20210106,0.99,1,0.99
22,5,23,99,20210111,0.99,1,0.99
23,5,23,108,20210111,0.99,1,0.99
24,5,23,117,20210111,0.99,1,0.99
25,5,23,126,20210111,0.99,1,0.99
26,5,23,135,20210111,0.99,1,0.99
27,5,23,144,20210111,0.99,1,0.99
28,5,23,153,20210111,0.99,1,0.99
29,5,23,162,20210111,0.99,1,0.99
30,5,23,171,20210111,0.99,1,0.99
31,5,23,180,20210111,0.99,1,0.99
32,5,23,189,20210111,0.99,1,0.99
33,5,23,198,20210111,0.99,1,0.99
34,5,23,207,20210111,0.99,1,0.99
35,5,23,216,20210111,0.99,1,0.99
36,6,37,230,20210119,0.99,1,0.99
37,7,38,231,20210201,0.99,1,0.99
38,7,38,232,20210201,0.99,1,0.99
39,8,40,234,20210201,0.99,1,0.99
40,8,40,236,20210201,0.99,1,0.99
41,9,42,238,20210202,0.99,1,0.99
42,9,42,240,20210202,0.99,1,0.99
43,9,42,242,20210202,0.99,1,0.99
44,9,42,244,20210202,0.99,1,0.99
45,10,46,248,20210203,0.99,1,0.99
46,10,46,252,20210203,0.99,1,0.99
47,10,46,256,20210203,0.99,1,0.99
48,10,46,260,20210203,0.99,1,0.99
49,10,46,264,20210203,0.99,1,0.99
50,10,46,268,20210203,0.99,1,0.99
51,11,52,274,20210206,0.99,1,0.99
52,11,52,280,20210206,0.99,1,0.99
53,11,52,286,20210206,0.99,1,0.99
54,11,52,292,20210206,0.99,1,0.99
55,11,52,298,20210206,0.99,1,0.99
56,11,52,304,20210206,0.99,1,0.99
57,11,52,310,20210206,0.99,1,0.99
58,11,52,316,20210206,0.99,1,0.99
59,11,52,322,20210206,0.99,1,0.99
60,12,2,331,20210211,0.99,1,0.99
61,12,2,340,20210211,0.99,1,0.99
62,12,2,349,20210211,0.99,1,0.99
63,12,2,358,20210211,0.99,1,0.99
64,12,2,367,20210211,0.99,1,0.99
65,12,2,376,20210211,0.99,1,0.99
66,12,2,385,20210211,0.99,1,0.99
67,12,2,394,20210211,0.99,1,0.99
68,12,2,403,20210211,0.99,1,0.99
69,12,2,412,20210211,0.99,1,0.99
70,12,2,421,20210211,0.99,1,0.99
71,12,2,430,20210211,0.99,1,0.99
72,12,2,439,20210211,0.99,1,0.99
73,12,2,448,20210211,0.99,1,0.99
74,13,16,462,20210219,0.99,1,0.99
75,14,17,463,20210304,0.99,1,0.99
76,14,17,464,20210304,0.99,1,0.99
77,15,19,466,20210304,0.99,1,0.99
78,15,19,468,20210304,0.99,1,0.99
79,16,21,470,20210305,0.99,1,0.99
80,16,21,472,20210305,0.99,1,0.99
81,16,21,474,20210305,0.99,1,0.99
82,16,21,476,20210305,0.99,1,0.99
83,17,25,480,20210306,0.99,1,0.99
84,17,25,484,20210306,0.99,1,0.99
85,17,25,488,20210306,0.99,1,0.99
86,17,25,492,20210306,0.99,1,0.99
87,17,25,496,20210306,0.99,1,0.99
88,17,25,500,20210306,0.99,1,0.99
89,18,31,506,20210309,0.99,1,0.99
90,18,31,512,20210309,0.99,1,0.99
91,18,31,518,20210309,0.99,1,0.99
92,18,31,524,20210309,0.99,1,0.99
93,18,31,530,20210309,0.99,1,0.99
94,18,31,536,20210309,0.99,1,0.99
95,18,31,542,20210309,0.99,1,0.99
96,18,31,548,20210309,0.99,1,0.99
97,18,31,554,20210309,0.99,1,0.99
98,19,40,563,20210314,0.99,1,0.99
99,19,40,572,20210314,0.99,1,0.99
100,19,40,581,20210314,0.99,1,0.99
101,19,40,590,20210314,0.99,1,0.99
102,19,40,599,20210314,0.99,1,0.99
103,19,40,608,20210314,0.99,1,0.99
104,19,40,617,20210314,0.99,1,0.99
105,19,40,626,20210314,0.99,1,0.99
106,19,40,635,20210314,0.99,1,0.99
107,19,40,644,20210314,0.99,1,0.99
108,19,40,653,20210314,0.99,1,0.99
109,19,40,662,20210314,0.99,1,0.99
110,19,40,671,20210314,0.99,1,0.99
111,19,40,680,20210314,0.99,1,0.99
112,20,54,694,20210322,0.99,1,0.99
113,21,55,695,20210404,0.99,1,0.99
114,21,55,696,20210404,0.99,1,0.99
